alpha,average_contribution
0.1,6.233305102532397
0.25,6.231843384158329
0.33,6.241900082975279
0.5,6.225813825314902
0.75,6.165252675921033
1,6.0987187309991
1.5,6.028416155020465
2,5.978410730492095
3,5.943343882207608
