iteration_count,best_contribution
1,5.946035006036106
2,6.044641669128484
3,6.078995864743345
4,5.980389201650968
5,6.078995864743345
6,5.980389201650968
7,6.078995864743345
8,6.078995864743345
9,6.078995864743345
10,6.044641669128484
11,6.078995864743345
12,6.078995864743345
13,6.044641669128484
14,6.078995864743345
15,6.078995864743345
16,6.044641669128484
17,6.078995864743345
18,6.078995864743345
19,6.078995864743345
20,6.078995864743345
21,6.078995864743345
22,6.078995864743345
23,6.078995864743345
24,6.078995864743345
25,6.078995864743345
26,6.078995864743345
27,6.078995864743345
28,6.078995864743345
29,6.078995864743345
30,6.078995864743345
31,6.078995864743345
32,6.078995864743345
33,6.078995864743345
34,6.078995864743345
35,6.078995864743345
36,6.078995864743345
37,6.078995864743345
38,6.078995864743345
39,6.078995864743345
40,6.078995864743345
41,6.078995864743345
42,6.078995864743345
43,6.078995864743345
44,6.078995864743345
45,6.078995864743345
46,6.078995864743345
47,6.078995864743345
48,6.078995864743345
49,6.078995864743345
50,6.078995864743345
51,6.078995864743345
52,6.078995864743345
53,6.078995864743345
54,6.078995864743345
55,6.078995864743345
56,6.078995864743345
57,6.078995864743345
58,6.078995864743345
59,6.078995864743345
60,6.078995864743345
61,6.078995864743345
62,6.078995864743345
63,6.078995864743345
64,6.078995864743345
65,6.078995864743345
66,6.078995864743345
67,6.078995864743345
68,6.078995864743345
69,6.078995864743345
70,6.078995864743345
71,6.078995864743345
72,6.078995864743345
73,6.078995864743345
74,6.078995864743345
75,6.078995864743345
76,6.078995864743345
77,6.078995864743345
78,6.078995864743345
79,6.078995864743345
80,6.078995864743345
81,6.078995864743345
82,6.078995864743345
83,6.078995864743345
84,6.078995864743345
85,6.078995864743345
86,6.078995864743345
87,6.078995864743345
88,6.078995864743345
89,6.078995864743345
90,6.078995864743345
91,6.078995864743345
92,6.078995864743345
93,6.078995864743345
94,6.078995864743345
95,6.078995864743345
96,6.078995864743345
97,6.078995864743345
98,6.078995864743345
99,6.078995864743345
100,6.078995864743345
101,6.078995864743345
102,6.078995864743345
103,6.078995864743345
104,6.078995864743345
105,6.078995864743345
106,6.078995864743345
107,6.078995864743345
108,6.078995864743345
109,6.078995864743345
110,6.078995864743345
111,6.078995864743345
112,6.078995864743345
113,6.078995864743345
114,6.078995864743345
115,6.078995864743345
116,6.078995864743345
117,6.078995864743345
118,6.078995864743345
119,6.078995864743345
120,6.078995864743345
121,6.078995864743345
122,6.078995864743345
123,6.078995864743345
124,6.078995864743345
125,6.078995864743345
126,6.078995864743345
127,6.078995864743345
128,6.078995864743345
129,6.078995864743345
130,6.078995864743345
131,6.078995864743345
132,6.078995864743345
133,6.078995864743345
134,6.078995864743345
135,6.078995864743345
136,6.078995864743345
137,6.078995864743345
138,6.078995864743345
139,6.078995864743345
140,6.078995864743345
141,6.078995864743345
142,6.078995864743345
143,6.078995864743345
144,6.078995864743345
145,6.078995864743345
146,6.078995864743345
147,6.078995864743345
148,6.078995864743345
149,6.078995864743345
150,6.078995864743345
